STATE/UT,YEAR,Pending Investigation From Previous Year,Cases Regd. During Year,Total Cases For Investigation,Cases Investigated,Cases Not Investigated Or Investigation Dropped,Cases Declared False Etc. During Year,Cases Charge Sheeted,Cases Pending For Prosecution,Cases Sent Up For Trial And Also Reported For Dept. Action,Cases Reported For Regular Departmental Action,Cases Reported For Suitable Action,Cases In Which Final Report Submitted,Cases Pending Investigation At The end Of Year,Cases Resulted In Recovery Or Seizure,Value Of Property Recovered / Seized (In Rupees),Cases Pending Trial From The Previous Year,Cases Sent Up For Trial During The Year,Total Cases For Trial,Cases Withdrawn/Discharged Or Other Wise Disposed Of,Trials Completed During The Year,Cases Convicted,Cases Acquitted Or Discharged,Pending Trial At The End Of The Year,Total Amt. Of Fine Imposed During The Year (In Rupees)
Andhra Pradesh,2001,285,226,511,209,14,0,150,13,1,40,0,47,302,154,439817,526,150,676,5,41,21,20,630,121250
Andhra Pradesh,2002,302,345,647,287,6,0,322,24,0,64,1,66,353,264,1082280,630,322,952,0,88,47,41,864,62900
Andhra Pradesh,2003,353,328,681,278,5,0,181,37,23,41,0,30,389,256,1149625,864,181,1045,4,98,41,57,943,131000
Andhra Pradesh,2004,389,195,584,305,1,0,172,26,31,37,1,68,279,175,858650,943,172,1115,0,92,52,40,1023,129800
Andhra Pradesh,2005,279,251,530,300,2,0,232,43,78,9,0,69,232,184,20861842,1023,232,1255,8,148,84,64,1099,965767
Andhra Pradesh,2006,232,234,466,352,4,0,223,32,117,18,0,108,116,227,41949744,1099,223,1322,8,254,148,106,1060,529050
Andhra Pradesh,2007,116,244,360,161,1,0,205,22,61,6,0,28,193,244,63301660,1060,205,1265,0,253,156,97,1012,288100
Andhra Pradesh,2008,193,330,523,249,2,0,132,18,158,9,0,18,280,234,2915830,1012,132,1144,5,174,118,56,965,440750
Andhra Pradesh,2009,280,322,602,306,4,0,210,38,200,9,0,38,293,238,3019800,965,210,1175,2,151,92,59,1022,440750
Andhra Pradesh,2010,293,272,565,261,1,0,211,19,184,10,0,19,305,259,83948386,1022,211,1233,11,141,90,51,1081,324700
Andhra Pradesh,2011,305,236,541,241,0,0,199,18,175,9,0,18,300,236,31450912,1081,199,1280,8,192,93,99,1080,1213000
Andhra Pradesh,2012,300,100,400,143,0,0,112,13,37,8,0,13,348,100,41765211,1080,112,1192,8,130,60,70,1054,1350700
Arunachal Pradesh,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Arunachal Pradesh,2003,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,3,7,10,10,0,0,2,1,2,0,0,1,7,0,0,0,2,2,0,0,0,0,2,0
Arunachal Pradesh,2010,7,0,7,7,0,0,0,0,0,0,0,0,7,0,0,2,0,2,0,0,0,0,2,0
Arunachal Pradesh,2011,18,11,29,7,0,0,5,0,0,0,0,2,29,0,0,0,5,8,0,0,0,0,0,0
Arunachal Pradesh,2012,18,8,26,26,0,0,5,39,0,0,0,2,26,0,0,2,5,7,0,0,0,0,7,0
Assam,2001,31,17,48,48,0,1,8,16,8,0,0,1,39,0,0,22,8,30,0,1,0,1,29,0
Assam,2002,39,11,50,50,0,0,2,17,2,0,0,0,39,0,0,29,2,31,0,0,0,0,31,0
Assam,2003,48,26,74,74,0,0,7,13,7,0,0,0,48,0,0,31,7,38,0,0,0,0,38,0
Assam,2004,54,17,71,71,0,0,2,17,0,0,0,0,54,0,0,2,40,0,0,0,0,0,38,0
Assam,2005,69,9,78,78,0,0,1,22,1,0,0,0,69,0,0,40,1,41,0,1,1,0,40,0
Assam,2006,78,2,80,80,0,2,8,19,0,0,0,2,70,0,0,30,8,38,0,2,2,0,36,24000
Assam,2007,80,1,81,81,0,1,2,19,0,0,0,1,80,0,0,38,2,40,0,3,3,1,38,15500
Assam,2008,80,0,80,80,0,3,3,16,0,0,0,3,74,0,0,3,40,0,2,2,0,38,0,0
Assam,2009,74,3,77,77,0,3,3,12,3,0,0,3,71,0,0,38,3,41,0,3,1,2,38,5000
Assam,2010,71,5,76,76,0,6,6,11,0,0,0,6,64,0,0,38,6,44,0,4,2,2,40,30000
Assam,2011,64,8,72,72,0,1,1,10,0,0,0,1,70,0,0,38,1,39,0,5,3,2,34,300000
Assam,2012,70,14,84,84,0,5,15,0,0,0,0,5,64,1,1831000,34,15,49,0,6,4,2,43,1315000
Bihar,2001,232,17,249,249,0,0,17,36,18,0,0,0,171,5,155500,326,17,343,2,3,3,0,338,0
Bihar,2002,171,12,183,183,0,0,8,35,8,0,0,0,174,2,9000,338,8,346,4,5,4,1,337,6000
Bihar,2003,174,22,196,196,0,0,16,30,16,0,0,0,179,2,300000,0,0,0,1,0,0,0,0,0
Bihar,2004,179,31,210,210,0,0,17,31,0,0,0,0,219,11,27000,0,0,0,0,7,6,1,357,22500
Bihar,2005,319,21,340,340,0,0,23,0,43,0,0,0,227,6,18400,347,30,377,2,3,3,0,372,0
Bihar,2006,227,104,331,331,0,0,69,60,0,0,0,15,220,70,25359911,372,69,443,1,1,1,0,440,0
Bihar,2007,220,133,353,353,0,0,248,99,0,0,0,0,86,117,30347184,440,248,688,4,4,4,0,684,0
Bihar,2008,86,116,202,202,1,0,88,70,0,0,0,0,129,80,8679253,684,88,772,0,9,8,1,763,23000
Bihar,2009,129,129,258,258,0,0,114,98,0,0,0,0,175,97,78855653,763,114,877,2,5,3,2,870,12000
Bihar,2010,175,99,274,274,3,0,99,97,0,0,0,0,185,74,35216711,870,99,969,1,12,10,2,956,593200
Bihar,2011,185,91,276,276,0,0,91,88,91,91,0,1,185,74,1830490,956,91,1028,4,15,11,4,1030,194000
Bihar,2012,185,78,263,263,2,9,81,43,81,78,0,9,171,52,20184346,1030,81,1111,0,5,4,1,1106,13000
